aim,model,version,timestamp,n_samples,train_auc,cv_auc_mean,cv_auc_std,train_avg_precision,data_hash,params_hash,model_path
aim1_non_conversion,logistic_regression,v1,2026-06-23T15:54:51.516585,218,0.8215978334461748,0.3495570321151716,0.3331287842353018,0.1990153785608331,0fae5667dd59db33,bafb3ac2aa45ece8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v1_logistic_regression.pkl
aim1_non_conversion,random_forest,v2,2026-06-23T15:54:52.795948,218,0.9908598510494244,0.6511074197120709,0.232317837140777,0.6761904761904762,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v2_random_forest.pkl
aim1_non_conversion,xgboost,v3,2026-06-23T15:54:53.320562,218,0.9989844278943804,0.571483942414175,0.2468437296146771,0.9617346938775508,0fae5667dd59db33,0bce74b7ffc0cd4d,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v3_xgboost.pkl
aim2_contact_risk,logistic_regression,v1,2026-06-23T15:54:53.970827,36,1.0,1.0,0.0,1.0,148482f911746fbe,99b06f12b274a892,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v1_logistic_regression.pkl
aim2_contact_risk,random_forest,v2,2026-06-23T15:54:55.274042,36,1.0,1.0,0.0,1.0,148482f911746fbe,219826fe951ff3c7,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v2_random_forest.pkl
aim2_contact_risk,xgboost,v3,2026-06-23T15:54:55.964253,36,1.0,1.0,0.0,1.0,148482f911746fbe,0e1a5c2da4906a53,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v3_xgboost.pkl
aim1_non_conversion,logistic_regression,v5,2026-06-24T16:43:01.550386,218,0.8215978334461748,0.3495570321151716,0.3331287842353018,0.1990153785608331,0fae5667dd59db33,bafb3ac2aa45ece8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v5_logistic_regression.pkl
aim1_non_conversion,random_forest,v6,2026-06-24T16:43:04.044466,218,0.9908598510494244,0.6511074197120709,0.232317837140777,0.6761904761904762,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v6_random_forest.pkl
aim1_non_conversion,xgboost,v7,2026-06-24T16:43:09.831665,218,0.9989844278943804,0.571483942414175,0.2468437296146771,0.9617346938775508,0fae5667dd59db33,0bce74b7ffc0cd4d,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v7_xgboost.pkl
aim1_non_conversion,logistic_regression,v8,2026-06-24T16:45:12.681933,218,0.8215978334461748,0.3495570321151716,0.3331287842353018,0.1990153785608331,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v8_logistic_regression.pkl
